name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;391;0;460;3053;1352;3053;1329;0
header;158;181;158;217;1794;217;1794;181
B;886;272;886;300;905;300;905;272
A;556;291;556;294;559;294;559;291
B;918;394;918;417;933;417;933;394
A;976;475;976;479;981;479;981;475
D;883;517;883;541;900;541;900;517
A;842;659;842;663;846;663;846;659
B;875;733;875;757;893;757;893;733
A;1077;752;1077;757;1081;757;1081;752
A;629;1151;629;1156;633;1156;633;1151
A;1015;1703;1015;1706;1018;1706;1018;1703
A;939;2326;939;2326;939;2326;939;2326
A;1123;2692;1123;2696;1127;2696;1127;2692
A;877;2847;877;2852;882;2852;882;2847
C;847;2860;847;2883;866;2883;866;2860
B;880;2860;880;2888;898;2888;898;2860
