name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;452;0;199;3061;1039;3061;1039;0
header;197;120;197;171;1825;171;1825;120
A;1000;187;1000;215;1022;215;1022;187
B;1001;855;1001;882;1021;882;1021;855
B;562;1477;562;1487;569;1487;569;1477
C;1002;1516;1002;1545;1024;1545;1024;1516
D;1002;2183;1002;2210;1024;2210;1024;2183
C;587;2237;587;2256;602;2256;602;2237
B;629;2505;629;2513;636;2513;636;2505
B;240;2821;240;2834;262;2834;262;2821
A;536;2902;536;2907;540;2907;540;2902
A;514;2980;514;2981;514;2981;514;2980
